Description,Price
"7"" screen, Android",$69.99
"Black, 7"" IPS, Quad-Core 1.2GHz, 8GB, Android 4.2",$88.99
"7"" screen, Android, 16GB",$96.99
"7"", 8GB, Wi-Fi, Android 4.2, White",$97.99
"Black, 7"", 1.6GHz Dual-Core, 8GB, Android 4.4",$99.99
"IPS, Dual-Core 1.2GHz, 8GB, Android 4.3",$101.99
"7"" screen, Android, 8GB",$102.99
"6"" screen, wifi",$103.99
"7"", 8GB, Wi-Fi, Android 4.2, Yellow",$107.99
"Blue, 8"" IPS, Quad-Core 1.3GHz, 16GB, Android 4.2",$121.99
"White, 7"", Atom 1.2GHz, 8GB, Android 4.4",$130.99
"Blue, 7"" IPS, Quad-Core 1.3GHz, 8GB, 3G, Android 4.2",$148.99
"Silver, 7"" IPS, Quad-Core 1.2Ghz, 16GB, 3G, Android 4.2",$172.99
"LTE (SM-T235), Quad-Core 1.2GHz, 8GB, Black",$233.99
"16GB, White",$251.99
"White, 10.1"" IPS, 1.6GHz, 2GB, 16GB, Android 4.2",$320.99
"10.1"", 3G, Android 4.0, Garnet Red",$399.99
"12.2"", 32GB, WiFi, Android 4.4, White",$489.99
"Wi-Fi + Cellular, 32GB, Silver",$537.99
"10.1"", 32GB, Black",$587.99
"Wi-Fi, 64GB, Silver",$603.99
